scorer,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000
bodyparts,Head,Head,Head,Snout,Snout,Snout,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,Shoulder,Shoulder,Shoulder,Spine1,Spine1,Spine1,Spine2,Spine2,Spine2,Spine3,Spine3,Spine3,Spine4,Spine4,Spine4,TailBase,TailBase,TailBase,Tail1,Tail1,Tail1,Tail2,Tail2,Tail2,TailEnd,TailEnd,TailEnd,LeftPaw1,LeftPaw1,LeftPaw1,RightPaw1,RightPaw1,RightPaw1,LeftPaw2,LeftPaw2,LeftPaw2,RightPaw2,RightPaw2,RightPaw2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
18,,,5.3796375141246244e-05,3.7059272048383494,502.539683234537,0.00017385683895554394,,,0.00014832107990514487,,,0.00019739512936212122,,,4.217934110783972e-05,,,0.0001268805644940585,0.0,0.0,7.422501221299171e-05,,,3.203559390385635e-05,,,4.865088703809306e-05,,,0.00014402825036086142,,,3.8415382732637227e-05,0.0,0.0,6.719251541653648e-05,0.0,0.0,5.058587703388184e-05,,,1.544314181955997e-05,,,2.8136799301137216e-05,,,1.0763678801595233e-05,,,2.522782415326219e-05
19,,,7.297017145901918e-05,3.683027157144333,502.4279365287294,0.00027009620680473745,,,0.00014550972264260054,,,0.0003232281014788896,,,5.7898701925296336e-05,,,0.00018909112259279937,0.0,0.0,0.00011078597890445963,,,3.882051896653138e-05,,,7.749914220767096e-05,,,0.00017647248751018196,,,0.00010923585796263069,0.0,0.0,0.00010353187099099159,0.0,0.0,7.800511230016127e-05,,,2.0019577277707867e-05,,,5.586686165770516e-05,,,1.8530970919528045e-05,,,4.820550748263486e-05
20,,,4.813747000298463e-05,3.658868651971103,502.31934953951725,0.00011798432387877256,,,8.376423647860065e-05,,,0.00021175548317842185,,,3.300554817542434e-05,,,0.0001378370652673766,0.0,0.0,0.00014101264241617173,,,3.4190117730759084e-05,,,3.6029541661264375e-05,,,0.00011960849224124104,,,3.454888428677805e-05,0.0,0.0,5.704842260456644e-05,0.0,0.0,5.667509321938269e-05,,,1.67672369570937e-05,,,2.5058590836124495e-05,,,9.754146049090195e-06,,,2.193551517848391e-05
21,,,7.288991764653474e-05,3.633500171550887,502.20966166536044,0.00016507833788637072,,,0.00011963519500568509,,,0.0003228409623261541,,,5.446630166261457e-05,,,0.0001681092835497111,0.0,0.0,0.00011227808863623068,,,4.120096127735451e-05,,,6.693861359963194e-05,,,0.00018738977087195963,,,6.213048618519679e-05,0.0,0.0,0.00010337363346479833,0.0,0.0,6.377109821187332e-05,,,1.9345743567100726e-05,,,3.897152782883495e-05,,,1.0880620720854495e-05,,,2.7683190637617372e-05
22,,,3.515063872328028e-05,3.606932841245909,502.09904936462345,9.298645454691723e-05,,,0.00011630765220616013,,,0.00013854230928700417,,,3.101288530160673e-05,,,0.00018381558766122907,0.0,0.0,0.00012824875011574477,,,3.35865406668745e-05,,,2.946543099824339e-05,,,7.956405897857621e-05,,,3.87731270166114e-05,0.0,0.0,6.296991341514513e-05,0.0,0.0,4.958802310284227e-05,,,1.1102279131591786e-05,,,2.1984978957334533e-05,,,9.297938049712684e-06,,,2.184605909860693e-05
23,,,4.097104465472512e-05,3.5792119185437463,501.991400572159,0.00014252057007979602,,,0.00016461496124975383,,,0.0001445446105208248,,,3.680086592794396e-05,,,0.00018154976714868098,0.0,0.0,0.00011791177530540153,,,4.150029781158082e-05,,,4.305196853238158e-05,,,0.00010083412780659273,,,4.8500798584427685e-05,0.0,0.0,6.425547326216474e-05,0.0,0.0,7.294784154510126e-05,,,1.4548347280651797e-05,,,2.8753418519045226e-05,,,1.5311337847379036e-05,,,2.613390824990347e-05
24,,,0.00020602605945896357,3.550350500107762,501.8790630027235,0.0006699612713418901,,,0.0003676559717860073,,,0.0007311541703529656,,,0.00013850227696821094,,,0.000349944835761562,0.0,0.0,0.0002544803428463638,,,7.79742476879619e-05,,,0.00014950301556382328,,,0.00043212121818214655,,,0.00026104593416675925,0.0,0.0,0.00029351579723879695,0.0,0.0,0.0002326540125068277,,,7.842068589525297e-05,,,0.00017399447096977383,,,6.591874989680946e-05,,,0.00011640795128187165
25,,,7.923522935016081e-05,3.5203938925168994,501.7728954688118,0.00012250017607584596,,,0.00012521172175183892,,,0.0002566156617831439,,,6.496308924397454e-05,,,0.00022509439440909773,0.0,0.0,0.00016884776414372027,,,6.004799433867447e-05,,,6.76502168062143e-05,,,0.00010727169137680903,,,3.44947911798954e-05,0.0,0.0,6.703021063003689e-05,0.0,0.0,5.799142309115268e-05,,,2.0473571566981263e-05,,,2.578054591140244e-05,,,8.540886483388022e-06,,,2.0522382328636013e-05
26,,,0.00011210361117264256,3.4893544546872453,501.65960803161016,0.0003468560753390193,,,0.00021770669263787568,,,0.0004277242114767432,,,9.639519703341648e-05,,,0.00030921914731152356,0.0,0.0,0.00019746120960917324,,,5.961476927041076e-05,,,0.00011421459930716082,,,0.0003668825374916196,,,0.00015102406905498356,0.0,0.0,0.0002015976351685822,0.0,0.0,0.0001709925854811445,,,4.545193223748356e-05,,,9.03062173165381e-05,,,3.348745667608455e-05,,,7.241871935548261e-05
27,,,9.813458746066317e-05,3.457278376453078,501.55398443827386,0.00025039410684257746,,,0.0001997531217057258,,,0.00026185656315647066,,,6.962733459658921e-05,,,0.00017018690414261073,0.0,0.0,0.00011150657519465312,,,5.1526803872548044e-05,,,7.290743087651208e-05,,,0.00016239167598541826,,,5.644504926749505e-05,0.0,0.0,0.00011215716949664056,0.0,0.0,7.379401358775795e-05,,,2.5220850147888996e-05,,,4.612413977156393e-05,,,1.5770780009916052e-05,,,3.188111077179201e-05
